City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,72.72,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
1,Bethel,US,84.69,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
4,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
5,Faanui,PF,79.43,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
6,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
8,Banepa,NP,68.32,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
12,Victoria,HK,82.45,light rain,22.2855,114.1577,Mini Hotel Central
13,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
17,Mangan,IN,76.08,overcast clouds,27.5167,88.5333,Hotel Mout View
20,Mahebourg,MU,68.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Lasa,IT,63.34,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
24,Guerrero Negro,MX,78.89,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
25,Mackay,AU,66.04,broken clouds,-21.15,149.2,International Lodge Motel
27,Vung Tau,VN,79.14,overcast clouds,10.346,107.0843,Green hotel
29,Kavieng,PG,83.03,light rain,-2.5744,150.7967,Nusa Island Retreat
32,Yellowknife,CA,61.32,clear sky,62.456,-114.3525,The Explorer Hotel
33,San Quintin,MX,72.88,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
36,Poum,NC,74.64,clear sky,-20.2333,164.0167,Gîte kajeon
37,Sambava,MG,67.77,broken clouds,-14.2667,50.1667,Melrose
38,Yicheng,CN,77.72,overcast clouds,31.3705,119.8703,GreenTree Alliance Wuxi Yixing Jinyizhong Road Chengbei RT-Market Hotel
40,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,Isangel,VU,82.51,few clouds,-19.55,169.2667,Tanna Lodge
42,Yakeshi,CN,66.07,overcast clouds,49.2833,120.7333,Longhua Hotel
43,Atuona,PF,78.33,light rain,-9.8,-139.0333,Villa Enata
44,Pisco,PE,64.45,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
48,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
49,Bambous Virieux,MU,68.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
51,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
52,Okha,RU,64.17,clear sky,53.5739,142.9478,Империя
53,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Moultonborough,US,72.54,overcast clouds,43.7548,-71.3967,Olde Orchard Farm
58,Madang,PG,78.51,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
60,Kiunga,PG,74.05,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
63,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
64,Rikitea,PF,71.78,overcast clouds,-23.1203,-134.9692,People ThankYou
65,Leshan,CN,73.42,moderate rain,29.5623,103.7639,Leshan Haiyun International Youth Hostel
68,Vao,NC,72.46,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
70,Ponta Delgada,PT,68.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
72,Grand Gaube,MU,68.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
73,Caravelas,BR,70.07,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
77,Norman Wells,CA,77.77,broken clouds,65.282,-126.8329,Heritage Hotel
79,Svobodnyy,RU,69.71,few clouds,51.4,128.1333,Alekseevskij Hotel
80,Anchorage,US,81.75,clear sky,61.2181,-149.9003,Hotel Captain Cook
83,Itaituba,BR,84.22,broken clouds,-4.2761,-55.9836,Hotel Campos
84,Kapaa,US,84.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,Mitsamiouli,KM,77.59,overcast clouds,-11.3847,43.2844,Foyer ADM
89,Nakamura,JP,74.88,heavy intensity rain,32.9833,132.9333,Hotel Crown Hills Nakamura
91,Alofi,NU,76.93,few clouds,-19.0595,-169.9187,Taloa Heights
93,Palembang,ID,71.56,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
94,Tuktoyaktuk,CA,60.93,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
96,Hukvaldy,CZ,70.03,light rain,49.6238,18.2219,Motel Ibex
98,Khani,GE,62.17,few clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
99,Nova Olimpia,BR,82.22,clear sky,-14.7972,-57.2881,Motel glamour
100,Alugan,PH,79.2,overcast clouds,12.2188,125.4808,JM Lodge
103,Erenhot,CN,70.03,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
105,Pleven,BG,76.68,clear sky,43.4167,24.6167,Хотел Ростов
107,Butaritari,KI,84.06,few clouds,3.0707,172.7902,Isles Sunset Lodge
109,Nikolskoye,RU,63.01,clear sky,59.7035,30.7861,Tourist House - Sablino
112,Daru,PG,78.15,overcast clouds,-9.0763,143.2092,Daru Lodge
115,Khandyga,RU,66.92,broken clouds,62.6667,135.6,Apel'sin
116,Labuhan,ID,75.18,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
118,Ushtobe,KZ,68.77,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
120,Sterlitamak,RU,63.12,clear sky,53.6246,55.9502,Gostinyy Dom Komfort
121,Thompson,CA,70.07,broken clouds,55.7435,-97.8558,Burntwood Hotel
124,Araguari,BR,71.42,few clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
125,Vallenar,CL,68.86,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
127,Nantucket,US,79.14,fog,41.2835,-70.0995,Jared Coffin House
129,Karratha,AU,64.74,few clouds,-20.7377,116.8463,ibis Styles Karratha
135,Hasaki,JP,77.4,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
140,Bati,ET,68.56,overcast clouds,11.1833,40.0167,Adi 01 Kebele
143,Barras,BR,84.16,overcast clouds,-4.2444,-42.2944,Bl2
145,Miri,MY,76.1,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
146,Kodiak,US,69.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
148,Touros,BR,74.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
151,Havre-Saint-Pierre,CA,62.58,scattered clouds,50.2334,-63.5986,Auberge Niapiskau
152,Dingle,PH,77.09,light rain,10.9995,122.6711,SEGAYA PROPERTY
153,De-Kastri,RU,71.24,broken clouds,51.4667,140.7833,Somon Hotel
158,Bull Savanna,JM,82.94,scattered clouds,17.8868,-77.5902,Big Red's
159,Rairangpur,IN,79.12,overcast clouds,22.2676,86.1751,Rairangpur Town PS
165,Iquitos,PE,80.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
