,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,72.72,94,90,10.36,overcast clouds
1,Bethel,US,41.3712,-73.414,84.69,95,73,2.66,broken clouds
2,Dunedin,NZ,-45.8742,170.5036,49.8,92,100,10.0,overcast clouds
3,Lebu,CL,-37.6167,-73.65,48.69,69,6,17.11,clear sky
4,Vila Velha,BR,-20.3297,-40.2925,73.35,83,0,10.36,clear sky
5,Faanui,PF,-16.4833,-151.75,79.43,73,30,22.84,scattered clouds
6,Vaini,TO,-21.2,-175.2,78.96,78,75,9.22,broken clouds
7,Busselton,AU,-33.65,115.3333,43.09,78,6,9.19,clear sky
8,Banepa,NP,27.6298,85.5214,68.32,100,75,3.44,broken clouds
9,Port Alfred,ZA,-33.5906,26.891,56.53,74,0,8.66,clear sky
10,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,90,4.47,light intensity shower rain
11,Iqaluit,CA,63.7506,-68.5145,50.74,70,68,11.21,broken clouds
12,Victoria,HK,22.2855,114.1577,82.45,89,100,4.0,light rain
13,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,16.11,scattered clouds
14,Bluff,NZ,-46.6,168.3333,44.8,79,100,10.16,overcast clouds
15,Raga,SS,8.4596,25.678,70.12,96,100,3.89,overcast clouds
16,Esperance,AU,-33.8667,121.9,52.56,77,12,9.33,few clouds
17,Mangan,IN,27.5167,88.5333,76.08,94,100,0.89,overcast clouds
18,Kasongo-Lunda,CD,-6.4667,16.8167,72.46,32,79,0.49,broken clouds
19,Albany,US,42.6001,-73.9662,77.76,89,98,4.09,moderate rain
20,Mahebourg,MU,-20.4081,57.7,68.25,75,31,15.75,scattered clouds
21,Castro,BR,-24.7911,-50.0119,54.5,98,26,4.59,scattered clouds
22,Lasa,IT,46.6166,10.7002,63.34,95,86,6.85,overcast clouds
23,Chokurdakh,RU,70.6333,147.9167,40.05,80,100,15.77,overcast clouds
24,Guerrero Negro,MX,27.9769,-114.0611,78.89,54,0,16.8,clear sky
25,Mackay,AU,-21.15,149.2,66.04,47,61,10.09,broken clouds
26,East London,ZA,-33.0153,27.9116,57.49,60,0,6.4,clear sky
27,Vung Tau,VN,10.346,107.0843,79.14,87,100,13.27,overcast clouds
28,Ulukulevo,RU,54.4355,56.3221,61.05,79,54,4.79,broken clouds
29,Kavieng,PG,-2.5744,150.7967,83.03,78,94,11.18,light rain
30,Togur,RU,58.3631,82.8265,54.36,98,94,5.14,overcast clouds
31,Saint George,US,37.1041,-113.5841,105.64,21,1,4.0,clear sky
32,Yellowknife,CA,62.456,-114.3525,61.32,47,2,8.01,clear sky
33,San Quintin,MX,30.4833,-115.95,72.88,71,98,11.03,overcast clouds
34,Makakilo City,US,21.3469,-158.0858,86.32,52,75,10.36,broken clouds
35,Acapulco,MX,16.8634,-99.8901,85.82,74,75,6.91,broken clouds
36,Poum,NC,-20.2333,164.0167,74.64,73,1,2.77,clear sky
37,Sambava,MG,-14.2667,50.1667,67.77,85,61,9.22,broken clouds
38,Yicheng,CN,31.3705,119.8703,77.72,89,100,11.9,overcast clouds
39,Menongue,AO,-14.6585,17.691,55.44,47,34,5.41,scattered clouds
40,Saint-Philippe,RE,-21.3585,55.7679,69.39,77,35,11.32,scattered clouds
41,Isangel,VU,-19.55,169.2667,82.51,78,20,5.75,few clouds
42,Yakeshi,CN,49.2833,120.7333,66.07,97,100,13.38,overcast clouds
43,Atuona,PF,-9.8,-139.0333,78.33,78,20,25.86,light rain
44,Pisco,PE,-13.7,-76.2167,64.45,77,90,10.36,overcast clouds
45,Bredasdorp,ZA,-34.5322,20.0403,53.28,96,2,3.71,clear sky
46,Mar Del Plata,AR,-38.0023,-57.5575,50.0,68,75,15.99,shower rain
47,Hilo,US,19.7297,-155.09,91.27,83,90,5.75,moderate rain
48,Avarua,CK,-21.2078,-159.775,78.85,83,40,16.11,scattered clouds
49,Bambous Virieux,MU,-20.3428,57.7575,68.22,75,33,15.61,scattered clouds
50,Ushuaia,AR,-54.8,-68.3,35.26,87,0,8.05,clear sky
51,Georgetown,MY,5.4112,100.3354,80.89,89,20,0.0,few clouds
52,Okha,RU,53.5739,142.9478,64.17,70,6,18.19,clear sky
53,Puerto Ayora,EC,-0.7393,-90.3518,72.55,92,92,5.99,overcast clouds
54,Punta Arenas,CL,-53.15,-70.9167,37.51,81,75,6.91,broken clouds
55,Kyren,RU,51.6828,102.1408,58.73,97,100,1.45,moderate rain
56,Husavik,IS,66.0449,-17.3389,55.94,67,39,2.33,scattered clouds
57,Moultonborough,US,43.7548,-71.3967,72.54,94,100,1.88,overcast clouds
58,Madang,PG,-5.2246,145.7966,78.51,83,100,5.57,overcast clouds
59,Leningradskiy,RU,69.3833,178.4167,57.04,61,40,10.51,scattered clouds
60,Kiunga,PG,-6.1219,141.2906,74.05,99,100,2.19,overcast clouds
61,Bamora,IN,24.0552,78.0909,87.84,57,100,10.8,overcast clouds
62,Ilulissat,GL,69.2167,-51.1,57.22,51,20,4.61,few clouds
63,Hambantota,LK,6.1241,81.1185,75.54,100,75,1.14,broken clouds
64,Rikitea,PF,-23.1203,-134.9692,71.78,76,99,27.07,overcast clouds
65,Leshan,CN,29.5623,103.7639,73.42,95,100,0.6,moderate rain
66,Cape Town,ZA,-33.9258,18.4232,56.1,97,2,4.83,clear sky
67,Teyateyaneng,LS,-29.1472,27.7489,37.22,38,0,2.93,clear sky
68,Vao,NC,-22.6667,167.4833,72.46,82,1,8.86,clear sky
69,Vero Beach,US,27.6386,-80.3973,89.06,71,20,4.0,few clouds
70,Ponta Delgada,PT,37.7333,-25.6667,68.72,73,20,8.05,few clouds
71,Anadyr,RU,64.75,177.4833,59.0,72,100,15.01,overcast clouds
72,Grand Gaube,MU,-20.0064,57.6608,68.38,79,39,5.99,scattered clouds
73,Caravelas,BR,-17.7125,-39.2481,70.07,78,0,6.42,clear sky
74,Qaanaaq,GL,77.484,-69.3632,35.08,95,100,3.89,light rain
75,Yeppoon,AU,-23.1333,150.7333,55.18,52,20,7.76,few clouds
76,Viedma,AR,-40.8135,-62.9967,46.09,76,40,25.1,scattered clouds
77,Norman Wells,CA,65.282,-126.8329,77.77,25,70,3.65,broken clouds
78,Cabo San Lucas,MX,22.8909,-109.9124,98.51,54,40,14.97,scattered clouds
79,Svobodnyy,RU,51.4,128.1333,69.71,61,22,2.57,few clouds
80,Anchorage,US,61.2181,-149.9003,81.75,50,1,6.91,clear sky
81,Hermanus,ZA,-34.4187,19.2345,53.91,90,6,9.1,clear sky
82,Narsaq,GL,60.9167,-46.05,55.62,67,100,1.07,overcast clouds
83,Itaituba,BR,-4.2761,-55.9836,84.22,54,54,2.3,broken clouds
84,Kapaa,US,22.0752,-159.319,84.18,77,90,1.01,moderate rain
85,Tazovskiy,RU,67.4667,78.7,40.05,82,16,6.22,few clouds
86,Kasempa,ZM,-13.4584,25.8338,55.22,60,80,5.59,broken clouds
87,Te Anau,NZ,-45.4167,167.7167,46.0,92,100,2.91,overcast clouds
88,Mitsamiouli,KM,-11.3847,43.2844,77.59,68,90,9.24,overcast clouds
89,Nakamura,JP,32.9833,132.9333,74.88,98,100,8.34,heavy intensity rain
90,Union,US,40.6334,-74.2663,90.07,75,1,6.91,clear sky
91,Alofi,NU,-19.0595,-169.9187,76.93,80,11,20.31,few clouds
92,Mataura,NZ,-46.1927,168.8643,44.47,93,99,2.17,overcast clouds
93,Palembang,ID,-2.9167,104.7458,71.56,94,12,3.44,few clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,60.93,59,38,3.24,scattered clouds
95,Pacific Grove,US,36.6177,-121.9166,92.57,78,1,5.01,clear sky
96,Hukvaldy,CZ,49.6238,18.2219,70.03,85,75,3.44,light rain
97,Pevek,RU,69.7008,170.3133,45.59,85,98,12.44,overcast clouds
98,Khani,GE,41.9563,42.9566,62.17,63,21,5.35,few clouds
99,Nova Olimpia,BR,-14.7972,-57.2881,82.22,31,8,3.29,clear sky
100,Alugan,PH,12.2188,125.4808,79.2,89,100,4.81,overcast clouds
101,Dikson,RU,73.5069,80.5464,34.12,91,99,10.6,overcast clouds
102,Tasiilaq,GL,65.6145,-37.6368,42.96,73,100,5.5,overcast clouds
103,Erenhot,CN,43.6475,111.9767,70.03,64,0,14.65,clear sky
104,Teguldet,RU,57.3064,88.1667,53.38,98,86,3.56,overcast clouds
105,Pleven,BG,43.4167,24.6167,76.68,58,0,7.23,clear sky
106,Raudeberg,NO,61.9875,5.1352,54.27,76,69,20.65,broken clouds
107,Butaritari,KI,3.0707,172.7902,84.06,75,11,16.75,few clouds
108,Tiksi,RU,71.6872,128.8694,40.46,72,91,6.98,overcast clouds
109,Nikolskoye,RU,59.7035,30.7861,63.01,59,0,3.36,clear sky
110,Roald,NO,62.5833,6.1333,58.12,87,90,26.46,overcast clouds
111,Catemaco,MX,18.4167,-95.1167,85.75,71,89,5.95,overcast clouds
112,Daru,PG,-9.0763,143.2092,78.15,88,100,12.8,overcast clouds
113,San Patricio,US,28.017,-97.5169,92.12,52,8,14.85,clear sky
114,Tuatapere,NZ,-46.1333,167.6833,44.82,93,100,3.78,overcast clouds
115,Khandyga,RU,62.6667,135.6,66.92,53,51,4.7,broken clouds
116,Labuhan,ID,-6.8844,112.2051,75.18,81,73,8.9,broken clouds
117,Mount Gambier,AU,-37.8333,140.7667,47.07,84,97,5.17,overcast clouds
