City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atagay,RU,2021-07-11 22:02:09,55.1033,99.3875,53.49,91,12,2.51
1,Saint George,US,2021-07-11 21:57:25,37.1041,-113.5841,113.47,13,1,1.99
2,Atuona,PF,2021-07-11 22:02:10,-9.8,-139.0333,77.23,80,46,25.08
3,Dikson,RU,2021-07-11 22:02:10,73.5069,80.5464,33.6,99,100,15.37
4,Grindavik,IS,2021-07-11 22:02:10,63.8424,-22.4338,55.56,100,90,14.97
5,Sobolevo,RU,2021-07-11 22:02:11,54.4299,31.8996,69.37,75,76,5.75
6,Shimoda,JP,2021-07-11 21:58:11,34.6667,138.95,77.11,86,99,0.65
7,Matara,LK,2021-07-11 22:02:11,5.9485,80.5353,78.31,87,100,16.02
8,Rincon,US,2021-07-11 22:02:11,32.296,-81.2354,87.22,73,75,1.99
9,Coffs Harbour,AU,2021-07-11 22:02:12,-30.3,153.1333,50.13,93,75,2.3
10,Hithadhoo,MV,2021-07-11 22:02:12,-0.6,73.0833,81.19,71,49,2.21
11,Hermanus,ZA,2021-07-11 22:02:12,-34.4187,19.2345,53.91,68,55,9.28
12,Ribeira Grande,PT,2021-07-11 22:02:13,38.5167,-28.7,67.71,71,100,17.22
13,Avarua,CK,2021-07-11 22:02:13,-21.2078,-159.775,76.62,82,22,15.37
14,Punta Arenas,CL,2021-07-11 21:57:15,-53.15,-70.9167,35.71,80,20,36.82
15,Trelaze,FR,2021-07-11 22:02:14,47.45,-0.4667,64.11,80,75,3.44
16,Sinnamary,GF,2021-07-11 22:02:14,5.3833,-52.95,79.16,82,44,8.46
17,Arraial Do Cabo,BR,2021-07-11 21:59:53,-22.9661,-42.0278,69.66,83,0,5.75
18,Ilhabela,BR,2021-07-11 22:02:14,-23.7781,-45.3581,66.25,88,0,3.65
19,Barrow,US,2021-07-11 21:59:12,71.2906,-156.7887,33.82,73,90,11.5
20,San Andres,CO,2021-07-11 22:00:07,12.5847,-81.7006,81.14,79,100,22.93
21,Lebu,CL,2021-07-11 21:59:53,-37.6167,-73.65,49.35,74,12,14.09
22,Mareeba,AU,2021-07-11 21:58:40,-17.0,145.4333,65.12,83,100,2.62
23,Kavaratti,IN,2021-07-11 22:02:15,10.5669,72.642,81.86,79,100,24.63
24,Port-Gentil,GA,2021-07-11 22:02:15,-0.7193,8.7815,77.72,80,99,12.88
25,Asau,RO,2021-07-11 22:02:16,46.4333,26.4,66.4,97,98,4.79
26,Nome,US,2021-07-11 22:02:16,64.5011,-165.4064,57.16,79,88,7.76
27,Rikitea,PF,2021-07-11 22:02:16,-23.1203,-134.9692,73.71,82,48,21.72
28,Presidencia Roque Saenz Pena,AR,2021-07-11 22:02:17,-26.7852,-60.4388,76.33,37,94,6.6
29,Bluff,NZ,2021-07-11 21:59:19,-46.6,168.3333,43.84,83,100,15.41
30,Padang,ID,2021-07-11 22:02:17,-0.9492,100.3543,75.25,87,98,4.16
31,Mahebourg,MU,2021-07-11 22:02:18,-20.4081,57.7,71.26,68,88,18.37
32,Teeli,RU,2021-07-11 22:02:18,51.0333,90.2333,54.86,84,43,2.68
33,Port Lincoln,AU,2021-07-11 22:00:15,-34.7333,135.8667,56.59,78,85,17.31
34,Qaanaaq,GL,2021-07-11 22:02:18,77.484,-69.3632,38.95,66,49,2.66
35,Provideniya,RU,2021-07-11 22:02:19,64.3833,-173.3,53.71,66,0,6.71
36,Clyde River,CA,2021-07-11 22:02:19,70.4692,-68.5914,47.77,61,21,4.45
37,Norman Wells,CA,2021-07-11 22:02:19,65.282,-126.8329,72.86,33,83,6.98
38,Beringovskiy,RU,2021-07-11 22:02:20,63.05,179.3167,60.84,62,81,3.76
39,Albany,US,2021-07-11 21:57:24,42.6001,-73.9662,68.9,93,100,4.56
40,Mataura,NZ,2021-07-11 22:02:20,-46.1927,168.8643,36.84,88,100,2.62
41,Yumen,CN,2021-07-11 22:02:20,40.2833,97.2,72.34,39,0,5.3
42,Vaini,TO,2021-07-11 22:02:21,-21.2,-175.2,75.09,83,5,13.02
43,Castro,BR,2021-07-11 22:02:21,-24.7911,-50.0119,54.19,75,14,2.98
44,Mount Gambier,AU,2021-07-11 22:02:21,-37.8333,140.7667,46.72,83,67,11.56
45,Puerto Ayora,EC,2021-07-11 22:02:22,-0.7393,-90.3518,73.54,83,27,5.99
46,Manoel Urbano,BR,2021-07-11 22:02:22,-8.8389,-69.2597,84.11,53,90,1.41
47,Haines Junction,CA,2021-07-11 22:02:22,60.7522,-137.5108,53.8,63,100,6.73
48,Olafsvik,IS,2021-07-11 22:02:23,64.8945,-23.7142,54.39,88,85,8.84
49,Atchison,US,2021-07-11 22:02:23,39.563,-95.1216,77.07,85,97,17.45
50,Chesley,CA,2021-07-11 22:02:23,44.2966,-81.0952,72.7,67,100,5.79
51,Sande,DE,2021-07-11 22:02:24,53.5049,8.0142,66.43,96,50,8.14
52,Talnakh,RU,2021-07-11 22:02:24,69.4865,88.3972,45.27,92,100,10.67
53,Kaitangata,NZ,2021-07-11 22:02:05,-46.2817,169.8464,41.94,74,100,7.29
54,Isangel,VU,2021-07-11 22:02:24,-19.55,169.2667,77.86,70,100,2.24
55,Butaritari,KI,2021-07-11 22:02:25,3.0707,172.7902,82.31,75,88,11.99
56,Mar Del Plata,AR,2021-07-11 22:02:25,-38.0023,-57.5575,55.13,55,0,8.99
57,Sao Filipe,CV,2021-07-11 22:02:25,14.8961,-24.4956,72.55,75,65,7.02
58,Misratah,LY,2021-07-11 22:02:26,32.3754,15.0925,79.3,70,0,12.97
59,Praia,CV,2021-07-11 21:59:09,14.9215,-23.5087,73.94,68,20,12.66
60,Saldanha,ZA,2021-07-11 22:02:26,-33.0117,17.9442,53.29,89,3,10.67
61,Sept-Iles,CA,2021-07-11 22:02:26,50.2001,-66.3821,63.25,86,75,1.99
62,Chumikan,RU,2021-07-11 22:02:27,54.7183,135.315,53.47,96,100,0.81
63,Pacific Grove,US,2021-07-11 22:02:27,36.6177,-121.9166,97.61,86,36,1.01
64,Hobart,AU,2021-07-11 22:02:27,-42.8794,147.3294,47.12,91,75,1.99
65,Kodiak,US,2021-07-11 22:02:28,57.79,-152.4072,48.7,91,100,22.01
66,Pathardi,IN,2021-07-11 22:02:28,19.1667,75.1833,77.86,84,100,2.48
67,Busselton,AU,2021-07-11 22:02:28,-33.65,115.3333,55.04,93,100,22.28
68,Kurilsk,RU,2021-07-11 22:02:28,45.2333,147.8833,58.73,84,18,6.29
69,Masvingo,ZW,2021-07-11 22:02:29,-20.0637,30.8277,52.72,70,0,3.89
70,Laurel,US,2021-07-11 22:02:29,39.0993,-76.8483,91.26,72,1,4.0
71,Fortuna,US,2021-07-11 22:02:29,40.5982,-124.1573,68.86,80,20,12.66
72,Luganville,VU,2021-07-11 22:02:30,-15.5333,167.1667,79.7,83,77,7.34
73,Mugumu,TZ,2021-07-11 22:02:30,-1.85,34.7,64.9,61,100,4.25
74,Ushuaia,AR,2021-07-11 22:02:31,-54.8,-68.3,30.33,94,90,5.28
75,Tuatapere,NZ,2021-07-11 22:02:31,-46.1333,167.6833,40.39,87,97,4.41
76,Lakhdenpokhya,RU,2021-07-11 22:02:31,61.5198,30.1992,64.87,79,3,5.61
77,Vanimo,PG,2021-07-11 21:57:51,-2.6741,141.3028,78.6,84,70,3.94
78,Honiara,SB,2021-07-11 22:02:32,-9.4333,159.95,82.31,71,37,5.35
79,Bayan,CN,2021-07-11 22:02:32,46.0833,127.4,71.49,90,84,4.61
80,Iqaluit,CA,2021-07-11 22:00:14,63.7506,-68.5145,49.41,60,78,5.59
81,Aasiaat,GL,2021-07-11 22:02:32,68.7098,-52.8699,40.28,80,61,6.15
82,Gornopravdinsk,RU,2021-07-11 22:02:33,60.05,69.9,43.48,76,16,4.43
83,Key Largo,US,2021-07-11 22:00:25,25.0865,-80.4473,87.03,67,35,13.62
84,San Cristobal,VE,2021-07-11 22:02:33,7.7669,-72.225,76.03,64,98,4.41
85,Marystown,CA,2021-07-11 22:02:33,47.1666,-55.1483,59.02,84,57,7.29
86,Kushima,JP,2021-07-11 22:02:34,31.4583,131.2333,78.84,87,100,4.38
87,Mayumba,GA,2021-07-11 22:02:34,-3.432,10.6554,73.44,90,81,6.87
88,Buala,SB,2021-07-11 22:02:34,-8.145,159.5921,83.3,72,86,7.96
